timestamp,equipment_id,temperature,pressure,gas_flow,burden_level,cooling_water_temp,vibration
2024-06-01 00:00:00,BF-002,1182.16,2.97,4439.78,88.08,37.24,2.45
2024-06-01 00:15:00,BF-002,1275.02,2.41,4531.34,83.3,39.98,3.8
2024-06-01 00:30:00,BF-002,1227.19,2.55,4429.67,87.84,29.96,2.46
2024-06-01 00:45:00,BF-002,1166.07,3.06,4620.53,60.37,34.05,3.19
2024-06-01 01:00:00,BF-002,1173.64,2.66,4191.8,86.45,34.77,2.78
2024-06-01 01:15:00,BF-002,1324.72,2.54,4275.6,93.99,35.33,2.23
2024-06-01 01:30:00,BF-002,1217.65,2.56,4434.71,79.96,34.45,2.79
2024-06-01 01:45:00,BF-002,1020.25,2.67,4567.36,82.23,34.73,2.47
2024-06-01 02:00:00,BF-002,1118.91,2.13,4602.55,89.73,36.1,1.99
2024-06-01 02:15:00,BF-002,1116.22,3.67,5153.85,80.62,34.42,2.55
2024-06-01 02:30:00,BF-002,1144.16,2.63,4316.02,92.67,33.4,2.29
2024-06-01 02:45:00,BF-002,1204.79,2.83,4380.59,115.97,33.31,2.48
2024-06-01 03:00:00,BF-002,1469.09,2.65,4721.14,90.09,38.98,2.46
2024-06-01 03:15:00,BF-002,1230.8,2.81,4904.21,90.69,57.47,2.39
2024-06-01 03:30:00,BF-002,1258.7,2.22,4621.8,78.54,16.03,2.02
2024-06-01 03:45:00,BF-002,1228.29,2.32,4568.86,79.59,34.05,3.11
2024-06-01 04:00:00,BF-002,1138.71,2.55,4269.24,91.6,36.18,2.46
2024-06-01 04:15:00,BF-002,1221.24,2.27,4539.4,83.47,35.4,2.61
2024-06-01 04:30:00,BF-002,1223.38,2.76,4162.89,84.64,34.56,2.4
2024-06-01 04:45:00,BF-002,1194.0,2.08,4762.76,88.54,31.25,2.3
2024-06-01 05:00:00,BF-002,1184.7,2.45,4612.01,85.76,15.81,2.6
2024-06-01 05:15:00,BF-002,1192.59,2.33,4488.48,90.4,37.08,3.2
2024-06-01 05:30:00,BF-002,1122.68,2.28,4268.39,87.89,34.16,-0.63
2024-06-01 05:45:00,BF-002,1133.39,2.09,4536.32,84.01,40.9,1.95
2024-06-01 06:00:00,BF-002,1327.09,2.51,4199.54,84.53,40.77,2.34
2024-06-01 06:15:00,BF-002,1137.43,2.48,4437.11,86.29,32.25,2.11
2024-06-01 06:30:00,BF-002,1111.67,3.07,4583.0,86.95,38.97,3.51
2024-06-01 06:45:00,BF-002,1163.98,3.25,4357.44,89.02,34.6,2.33
2024-06-01 07:00:00,BF-002,1222.96,2.18,4491.98,85.83,35.44,2.74
2024-06-01 07:15:00,BF-002,1228.06,1.93,3976.93,84.58,37.11,2.36
2024-06-01 07:30:00,BF-002,1148.8,2.14,4142.34,84.1,38.01,1.23
2024-06-01 07:45:00,BF-002,1402.06,4.12,4345.57,82.84,32.84,2.3
2024-06-01 08:00:00,BF-002,1172.77,4.22,4448.29,93.02,41.57,1.91
2024-06-01 08:15:00,BF-002,1374.5,2.36,5118.11,80.63,35.84,2.67
2024-06-01 08:30:00,BF-002,1185.34,2.67,4590.59,78.7,29.07,2.35
2024-06-01 08:45:00,BF-002,1165.3,2.26,4608.06,89.46,34.21,2.12
2024-06-01 09:00:00,BF-002,1167.54,2.35,4509.0,87.41,41.35,2.44
2024-06-01 09:15:00,BF-002,1090.04,2.55,4527.24,95.32,33.23,4.0
2024-06-01 09:30:00,BF-002,1188.92,2.5,4140.57,84.58,41.87,3.01
2024-06-01 09:45:00,BF-002,1196.18,2.49,5309.86,84.86,35.37,2.78
2024-06-01 10:00:00,BF-002,1129.58,2.18,3689.46,80.88,34.99,3.37
2024-06-01 10:15:00,BF-002,1183.16,2.87,3312.28,85.5,31.85,5.13
2024-06-01 10:30:00,BF-002,1187.24,2.87,4823.75,76.33,36.85,2.74
2024-06-01 10:45:00,BF-002,1107.33,2.87,4485.21,75.56,34.02,2.8
2024-06-01 11:00:00,BF-002,1161.42,2.3,4545.07,82.28,34.94,2.87
2024-06-01 11:15:00,BF-002,1159.85,3.9,4491.82,85.33,34.36,1.6
2024-06-01 11:30:00,BF-002,1208.99,2.34,4169.88,82.07,37.53,2.76
2024-06-01 11:45:00,BF-002,1262.26,2.21,4297.52,82.11,34.39,1.7
2024-06-01 12:00:00,BF-002,1202.36,2.59,4444.67,104.58,27.47,1.54
2024-06-01 12:15:00,BF-002,1257.98,3.37,4696.42,88.16,32.46,1.94
2024-06-01 12:30:00,BF-002,1188.88,2.75,4408.44,81.44,31.04,2.63
2024-06-01 12:45:00,BF-002,1218.56,2.15,4541.19,93.3,39.45,1.85
2024-06-01 13:00:00,BF-002,1203.34,2.41,4590.95,84.65,36.79,2.75
2024-06-01 13:15:00,BF-002,1320.57,1.82,4340.1,79.74,35.14,3.32
2024-06-01 13:30:00,BF-002,1192.38,3.04,4312.82,73.47,34.41,2.35
2024-06-01 13:45:00,BF-002,1239.12,2.7,4364.07,78.86,30.75,2.6
2024-06-01 14:00:00,BF-002,1210.14,2.53,4351.44,84.68,34.32,2.15
2024-06-01 14:15:00,BF-002,1256.28,2.29,4282.51,73.12,37.86,1.89
2024-06-01 14:30:00,BF-002,1231.61,2.18,3719.35,81.04,37.46,2.4
2024-06-01 14:45:00,BF-002,1217.04,2.44,4617.09,59.16,36.29,2.11
2024-06-01 15:00:00,BF-002,1142.92,2.59,4283.41,81.3,30.83,2.27
2024-06-01 15:15:00,BF-002,1147.32,2.43,4533.51,82.08,32.8,2.13
2024-06-01 15:30:00,BF-002,1169.19,2.66,4435.59,82.67,36.12,1.83
2024-06-01 15:45:00,BF-002,1185.37,3.06,5671.23,81.07,31.56,2.44
2024-06-01 16:00:00,BF-002,1205.56,2.18,4506.7,92.35,37.17,1.54
2024-06-01 16:15:00,BF-002,1169.31,2.57,4204.14,81.92,31.01,2.75
2024-06-01 16:30:00,BF-002,1101.14,3.02,4101.6,71.86,31.69,1.65
