timestamp,equipment_id,temperature,arc_voltage,current,pressure,slag_height,vibration
2024-06-01 00:00:00,LF-001,1580.5,242.73,38154.67,0.51,12.78,1.84
2024-06-01 00:15:00,LF-001,1635.02,265.82,46094.86,0.49,8.35,2.25
2024-06-01 00:30:00,LF-001,1476.18,248.66,33431.2,0.52,15.5,2.32
2024-06-01 00:45:00,LF-001,1505.75,261.94,35142.62,0.49,13.16,1.93
2024-06-01 01:00:00,LF-001,1581.31,236.93,32829.99,0.52,17.0,1.63
2024-06-01 01:15:00,LF-001,1615.35,238.77,33600.08,0.45,17.49,2.2
2024-06-01 01:30:00,LF-001,1566.36,233.68,35489.95,0.51,14.66,2.08
2024-06-01 01:45:00,LF-001,1597.66,277.51,37513.24,0.57,16.14,1.91
2024-06-01 02:00:00,LF-001,1591.64,272.37,37494.04,0.45,12.02,2.61
2024-06-01 02:15:00,LF-001,1706.13,248.74,36050.24,0.42,13.99,1.5
2024-06-01 02:30:00,LF-001,1517.1,258.67,36574.67,0.53,16.49,2.31
2024-06-01 02:45:00,LF-001,1524.99,339.56,34236.76,0.32,14.63,2.67
2024-06-01 03:00:00,LF-001,1694.76,275.22,34564.84,0.6,16.5,1.83
2024-06-01 03:15:00,LF-001,1641.31,220.39,33308.07,0.43,16.76,2.38
2024-06-01 03:30:00,LF-001,1678.56,273.05,35825.56,0.47,16.12,1.41
2024-06-01 03:45:00,LF-001,1596.96,252.29,38546.4,0.5,11.66,2.39
2024-06-01 04:00:00,LF-001,1560.66,244.73,31952.06,0.47,15.13,2.28
2024-06-01 04:15:00,LF-001,1639.73,235.45,34632.45,0.5,2.83,2.05
2024-06-01 04:30:00,LF-001,1561.46,254.52,34794.83,0.47,18.93,2.27
2024-06-01 04:45:00,LF-001,1831.11,272.25,34013.77,0.51,10.36,1.85
2024-06-01 05:00:00,LF-001,1589.86,236.86,34879.0,0.53,16.43,2.4
2024-06-01 05:15:00,LF-001,1581.22,256.68,36230.84,0.43,18.15,2.45
2024-06-01 05:30:00,LF-001,1514.1,255.15,34150.25,0.57,10.35,2.32
2024-06-01 05:45:00,LF-001,1451.57,272.02,46489.35,0.46,12.74,2.07
2024-06-01 06:00:00,LF-001,1635.57,252.67,30549.22,0.44,14.31,2.47
2024-06-01 06:15:00,LF-001,1616.82,246.07,31581.73,0.49,13.91,1.95
2024-06-01 06:30:00,LF-001,1649.58,240.32,39664.55,0.41,15.14,2.78
2024-06-01 06:45:00,LF-001,1743.83,237.16,34832.88,0.54,13.42,1.55
2024-06-01 07:00:00,LF-001,1632.8,221.98,36340.68,0.59,13.53,2.54
2024-06-01 07:15:00,LF-001,1528.99,227.7,35543.63,0.46,18.29,2.72
2024-06-01 07:30:00,LF-001,1490.79,227.84,33805.29,0.37,15.45,1.62
2024-06-01 07:45:00,LF-001,1522.96,165.7,34597.57,0.6,14.15,2.06
2024-06-01 08:00:00,LF-001,1593.99,254.46,37375.77,0.43,18.08,1.71
2024-06-01 08:15:00,LF-001,1587.84,247.22,34576.19,0.56,13.52,0.98
2024-06-01 08:30:00,LF-001,1624.78,171.79,37067.84,0.47,18.98,2.09
2024-06-01 08:45:00,LF-001,1668.45,218.33,36745.52,0.62,14.58,2.09
2024-06-01 09:00:00,LF-001,1552.74,253.22,37184.72,0.55,13.57,1.6
2024-06-01 09:15:00,LF-001,1606.02,259.38,36131.05,0.49,15.79,2.08
2024-06-01 09:30:00,LF-001,1589.73,238.73,36240.62,0.49,16.44,1.84
2024-06-01 09:45:00,LF-001,1499.93,257.7,32217.87,0.28,15.62,1.76
2024-06-01 10:00:00,LF-001,1639.49,241.9,36757.86,0.55,14.05,1.9
2024-06-01 10:15:00,LF-001,1517.35,240.99,32576.68,0.5,16.34,2.68
2024-06-01 10:30:00,LF-001,1740.8,227.01,38093.62,0.54,19.31,3.02
2024-06-01 10:45:00,LF-001,1608.18,214.66,37541.11,0.55,12.96,2.36
2024-06-01 11:00:00,LF-001,1624.63,232.91,36213.31,0.51,14.0,1.64
2024-06-01 11:15:00,LF-001,1603.93,235.39,37244.57,0.53,11.58,2.16
2024-06-01 11:30:00,LF-001,1577.87,259.63,42734.93,0.52,15.13,2.61
2024-06-01 11:45:00,LF-001,1598.04,255.73,33916.89,0.52,16.47,1.54
2024-06-01 12:00:00,LF-001,1567.1,257.76,34633.96,0.46,17.97,1.92
2024-06-01 12:15:00,LF-001,1672.45,225.76,37300.13,0.44,12.71,1.55
2024-06-01 12:30:00,LF-001,1517.28,250.19,32368.61,0.52,17.37,2.11
2024-06-01 12:45:00,LF-001,1581.8,239.7,33854.78,0.5,21.34,2.28
2024-06-01 13:00:00,LF-001,1623.16,263.5,31621.27,0.53,15.36,2.64
2024-06-01 13:15:00,LF-001,1603.12,244.11,30718.72,0.48,14.34,0.31
2024-06-01 13:30:00,LF-001,1617.9,271.01,34691.1,0.48,16.01,2.25
2024-06-01 13:45:00,LF-001,1607.45,224.68,34797.12,0.51,14.71,2.1
2024-06-01 14:00:00,LF-001,1523.49,242.57,37409.73,0.47,14.67,2.31
2024-06-01 14:15:00,LF-001,1699.56,236.23,35789.56,0.49,14.07,2.74
